Date,Holiday,Type,Day
1/1/2019,New Year's Day,National holiday,Tuesday
3/17/2019,St.Patrick's Day,National holiday,Sunday
3/20/2019,March Equinox,Season,Wednesday
4/19/2019,Good Friday,Observance,Friday
4/21/2019,Easter,Observance,Sunday
4/22/2019,Easter Monday,National holiday,Monday
5/6/2019,May Day,National holiday,Monday
6/3/2019,June Bank Holiday,National holiday,Monday
6/21/2019,June Solstice,Season,Friday
8/5/2019,August Bank Holiday,National holiday,Monday
9/23/2019,September Solstice,Season,Monday
10/28/2019,October Bank Holiday,National holiday,Monday
12/22/2019,December Solstice,Season,Sunday
12/24/2019,Christmas Eve,Observance,Tuesday
12/25/2019,Christmas Day,National holiday,Wednesday
12/26/2019,St Stephen's Day,National holiday,Thursday
12/31/2019,New Year's Eve,Observance,Tuesday
1/1/2020,New Year's Day,National holiday,Wednesday
3/17/2020,St.Patrick's Day,National holiday,Tuesday
3/20/2020,March Equinox,Season,Friday
4/10/2020,Good Friday,Observance,Friday
4/12/2020,Easter,Observance,Sunday
4/13/2020,Easter Monday,National holiday,Monday
5/4/2020,May Day,National holiday,Monday
